"","Operating.System","Connection.State","Ingress.Router","Assembled.Payload.Size","DYNRiskA.Score","Response.Size","Source.Ping.Time","Connection.Rate","Server.Response.Packet.Time","Packet.Size","Packet.TTL","Source.IP.Concurrent.Connection","Class"
"480358","Windows","ESTABLISHED","syd-tls-04",59418,0.576703666,381297,297,488.2809938,214,1279,55,30,"NonMal"
"303488","Windows","ESTABLISHED","syd-tls-04",62530,0.311658213,475126,264,923.4204643,147,1305,77,15,"NonMal"
"263584","Windows","ESTABLISHED","mel-aus-01",56595,0.644640577,521669,285,663.2748774,186,1367,66,31,"NonMal"
"267736","Windows","ESTABLISHED","mel-aus-01",50393,0.669752333,382061,239,498.9970664,230,1343,65,32,"NonMal"
"160570","Windows","ESTABLISHED","syd-tls-04",59653,0.517966994,429286,252,151.5897504,166,1289,62,19,"NonMal"
"195100","Windows","ESTABLISHED","mel-aus-01",63766,0.582158306,702033,245,15.64818781,180,1331,66,18,"NonMal"
"196556","Windows","ESTABLISHED","syd-tls-04",66189,0.244951705,264266,234,1248.560566,150,1352,65,15,"NonMal"
"416164","Others","ESTABLISHED","mel-aus-01",57672,0.807226293,641165,273,475.6051173,130,1340,71,20,"NonMal"
"396908","Android","ESTABLISHED","mel-aus-01",59537,0.749666483,455924,340,462.9072355,168,1281,82,23,"NonMal"
"427064","Android","ESTABLISHED","mel-aus-01",64506,0.539962313,588769,275,88.01983034,195,1359,62,20,"NonMal"
"172893","Windows","Others","mel-aus-01",58334,0.527375674,350640,234,77.76994071,204,1372,59,21,"NonMal"
"330918","Windows","ESTABLISHED","syd-tls-04",65705,0.772241593,469576,224,619.5139353,129,1361,83,19,"NonMal"
"334188","Others","ESTABLISHED","syd-tls-04",64753,0.363636202,553221,242,783.4891986,104,1340,58,13,"NonMal"
"63235","Windows","ESTABLISHED","mel-aus-01",79321,0.535130019,525366,251,476.3365584,217,1367,52,24,"NonMal"
"342425","Android","ESTABLISHED","mel-aus-01",65806,0.662883126,576336,253,783.2028266,125,1363,62,25,"NonMal"
"249639","Windows","ESTABLISHED","syd-tls-04",59920,0.754327006,469568,152,521.1851524,192,1295,49,23,"NonMal"
"268477","Windows","ESTABLISHED","syd-tls-04",58935,0.461146986,377522,326,279.4919354,160,1392,54,16,"NonMal"
"50537","Android","Others","mel-aus-01",72689,0.541697884,572565,289,817.5058493,161,1279,71,25,"NonMal"
"351950","Android","ESTABLISHED","syd-tls-04",66843,0.677403828,600475,183,867.0231702,146,1311,54,25,"NonMal"
"141692","Others","ESTABLISHED","syd-tls-04",57679,0.744239341,542321,328,382.692237,188,1281,65,23,"NonMal"
"165549","Android","ESTABLISHED","syd-tls-04",65883,0.71764537,579549,321,361.7811762,184,1279,61,23,"NonMal"
"319942","Android","ESTABLISHED","mel-aus-01",68266,0.547878266,465509,298,71.22971583,192,1350,55,23,"NonMal"
"90741","Windows","ESTABLISHED","mel-aus-01",58058,0.748020079,521497,340,729.0329408,184,1342,49,25,"NonMal"
"258278","Android","ESTABLISHED","mel-aus-01",71270,0.460781396,402814,212,521.0162855,173,1354,60,21,"NonMal"
"281297","Android","ESTABLISHED","mel-aus-01",66489,0.404018701,541644,279,655.5955507,175,1313,56,18,"NonMal"
"445478","Others","ESTABLISHED","syd-tls-04",61141,0.3609077,519419,299,611.0082961,193,1392,77,19,"NonMal"
"210587","Android","ESTABLISHED","mel-aus-01",51672,0.778995522,409781,283,512.0289523,214,1342,65,26,"NonMal"
"385308","Windows","ESTABLISHED","mel-aus-01",74939,0.605233651,564473,199,641.7802056,149,1322,71,23,"NonMal"
"78023","Windows","Others","syd-tls-04",57983,0.646556559,561972,249,896.1682588,140,1381,57,28,"NonMal"
"349280","Windows","ESTABLISHED","syd-tls-04",41771,0.756241989,621835,298,665.2656737,209,1340,61,32,"NonMal"
"368741","Windows","ESTABLISHED","mel-aus-01",60967,0.567106409,562779,306,119.2774001,193,1338,78,20,"NonMal"
"106210","Android","ESTABLISHED","syd-tls-04",68833,0.596164592,311741,245,475.0473148,187,1390,58,26,"NonMal"
"289871","Windows","ESTABLISHED","mel-aus-01",61964,0.537350944,484111,252,185.4448773,158,1335,65,18,"NonMal"
"239455","Windows","ESTABLISHED","mel-aus-01",64649,0.459994096,453270,173,484.1720237,150,1355,68,17,"NonMal"
"485919","Android","ESTABLISHED","mel-aus-01",68919,0.40553757,560960,312,391.8696375,160,1364,67,20,"NonMal"
"413476","Others","Others","syd-tls-04",56633,0.682123648,735353,187,1056.201212,131,1353,55,29,"NonMal"
"279894","Windows","ESTABLISHED","mel-aus-01",65416,0.471691225,379485,254,169.7725355,162,1371,51,16,"NonMal"
"373801","Android","ESTABLISHED","mel-aus-01",62045,0.68087386,541865,246,448.9126911,177,1425,81,25,"NonMal"
"336515","Windows","ESTABLISHED","syd-tls-04",66084,0.65559839,470808,238,458.125931,177,1330,61,23,"NonMal"
"172129","Android","ESTABLISHED","syd-tls-04",65555,0.737083727,200449,218,638.9892185,130,1368,62,22,"NonMal"
"30440","Windows","ESTABLISHED","syd-tls-04",65657,0.357966673,557301,193,662.9248698,197,1385,85,20,"NonMal"
"45934","Android","ESTABLISHED","mel-aus-01",52353,0.737464685,473751,204,285.780313,233,1334,68,25,"NonMal"
"285954","Windows","ESTABLISHED","syd-tls-04",49719,0.781748739,436539,231,647.4753744,182,1355,44,28,"NonMal"
"297896","Windows","ESTABLISHED","mel-aus-01",76492,0.560050773,437534,285,520.8238113,182,1369,69,26,"NonMal"
"349693","Windows","ESTABLISHED","mel-aus-01",63655,0.429517308,497997,320,438.125862,142,1359,72,17,"NonMal"
"60413","Android","ESTABLISHED","mel-aus-01",68586,0.374446851,618141,267,677.2566108,164,1335,56,19,"NonMal"
"275885","Android","ESTABLISHED","mel-aus-01",69752,0.63286432,385123,176,266.6966953,189,1331,63,23,"NonMal"
"293837","Windows","ESTABLISHED","mel-aus-01",74640,0.595995248,335451,245,529.3129066,198,1318,79,24,"NonMal"
"389049","Android","ESTABLISHED","syd-tls-04",62399,0.718120036,487759,198,497.1825837,161,1362,39,24,"NonMal"
"95773","Others","ESTABLISHED","mel-aus-01",58007,0.670917362,591834,376,456.1019543,204,1397,66,27,"NonMal"
"141893","Android","ESTABLISHED","syd-tls-04",62613,0.657851718,296214,363,829.9650921,137,1360,75,29,"NonMal"
"282548","Windows","ESTABLISHED","mel-aus-01",79433,0.568981025,501910,319,621.4614185,99,1366,56,22,"NonMal"
"216636","Windows","ESTABLISHED","mel-aus-01",68128,0.658168607,476255,235,763.1915718,123,1342,72,23,"NonMal"
"451196","Windows","ESTABLISHED","mel-aus-01",67434,0.678698621,426448,198,525.5383892,162,1354,56,23,"NonMal"
"294632","Android","ESTABLISHED","mel-aus-01",65723,0.663355975,589617,197,706.6968857,171,1363,56,25,"NonMal"
"168008","Windows","ESTABLISHED","mel-aus-01",56905,0.595653402,772657,210,50.54906301,203,1350,76,18,"NonMal"
"356344","Windows","Others","syd-tls-04",65886,0.586770268,631964,456,1020.854882,80,1346,44,28,"NonMal"
"227443","Android","ESTABLISHED","mel-aus-01",61123,0.701460537,539797,202,350.9374459,180,1318,52,23,"NonMal"
"295835","Windows","ESTABLISHED","syd-tls-04",64017,0.695721045,581314,211,714.3322783,147,1347,54,23,"NonMal"
"420316","Windows","ESTABLISHED","syd-tls-04",58506,0.675652517,528069,241,688.1958958,220,1357,48,28,"NonMal"
"349757","Android","ESTABLISHED","syd-tls-04",59194,0.416658627,243598,312,541.122474,137,1345,42,14,"NonMal"
"335884","Windows","ESTABLISHED","syd-tls-04",64546,0.494260568,392081,287,174.6171206,214,1306,73,22,"NonMal"
"413566","Android","ESTABLISHED","syd-tls-04",53369,0.49521116,495895,371,497.4524935,156,1343,55,13,"NonMal"
"149208","Android","ESTABLISHED","mel-aus-01",61944,0.645240856,551622,247,778.4608782,154,1351,85,26,"NonMal"
"444504","Windows","ESTABLISHED","mel-aus-01",60557,0.551596085,507959,268,303.6490144,185,1298,63,20,"NonMal"
"319492","Android","ESTABLISHED","syd-tls-04",63815,0.561961439,555758,234,150.1768003,168,1355,64,19,"NonMal"
"151084","Others","ESTABLISHED","mel-aus-01",64674,0.706089403,790702,296,429.1916155,151,1359,71,23,"NonMal"
"384416","Android","ESTABLISHED","syd-tls-04",63619,0.683165208,478444,345,531.2286926,153,1339,50,23,"NonMal"
"59076","Windows","ESTABLISHED","syd-tls-04",61893,0.823972092,504539,297,433.6340509,180,1352,76,20,"NonMal"
"391276","Android","ESTABLISHED","mel-aus-01",73459,0.653894193,376479,245,503.5324877,118,1373,62,20,"NonMal"
"239418","Android","ESTABLISHED","mel-aus-01",70990,0.616539054,547141,295,657.211848,155,1368,66,24,"NonMal"
"11544","Android","ESTABLISHED","mel-aus-01",60740,0.707882928,448253,272,430.3668995,225,1350,49,25,"NonMal"
"409240","Others","Others","mel-aus-01",57314,0.639680116,414827,283,952.1120368,144,1369,66,30,"NonMal"
"346992","Windows","ESTABLISHED","mel-aus-01",65067,0.687964156,620209,326,167.9047753,230,1378,66,24,"NonMal"
"201340","Windows","ESTABLISHED","syd-tls-04",56293,0.782644645,501406,321,673.4054049,145,1341,59,24,"NonMal"
"77885","Android","ESTABLISHED","mel-aus-01",63632,0.669218143,424222,268,318.8865212,217,1306,65,24,"NonMal"
"137825","Android","ESTABLISHED","syd-tls-04",52854,0.656581624,455019,143,727.02409,141,1316,65,29,"NonMal"
"431713","Windows","ESTABLISHED","mel-aus-01",68432,0.187952345,523936,233,1248.836726,143,1390,52,15,"NonMal"
"124295","Windows","ESTABLISHED","mel-aus-01",62498,0.33613901,534504,184,522.3334349,132,1331,59,16,"NonMal"
"199628","Android","Others","mel-aus-01",65323,0.627806512,486627,242,1038.424724,126,1328,54,26,"NonMal"
"387985","Windows","ESTABLISHED","mel-aus-01",55970,0.590618941,628562,314,153.3147844,178,1352,60,15,"NonMal"
"94971","Windows","ESTABLISHED","mel-aus-01",65601,0.378288094,426070,223,745.0931613,117,1288,62,14,"NonMal"
"2359","Windows","ESTABLISHED","syd-tls-04",71607,0.368194384,331195,363,583.784623,174,1308,73,21,"NonMal"
"13413","Windows","ESTABLISHED","mel-aus-01",72553,0.617445768,453168,222,484.272864,127,1327,65,22,"NonMal"
"257684","Android","ESTABLISHED","mel-aus-01",68941,0.312355244,650867,289,749.1724368,183,1302,82,21,"NonMal"
"357401","Windows","ESTABLISHED","syd-tls-04",55790,0.401131269,594950,312,819.12155,106,1326,70,12,"NonMal"
"224659","Windows","ESTABLISHED","mel-aus-01",67416,0.643511205,597344,191,976.3224827,80,1346,60,25,"NonMal"
"259963","Windows","ESTABLISHED","mel-aus-01",61409,0.685337098,507680,298,491.3294774,147,1320,71,26,"NonMal"
"434784","Windows","ESTABLISHED","mel-aus-01",67297,0.367222831,548984,261,748.2548103,160,1350,70,17,"NonMal"
"53179","Android","ESTABLISHED","syd-tls-04",61029,0.631082528,564187,274,773.1618863,158,1314,58,29,"NonMal"
"21132","Others","ESTABLISHED","syd-tls-04",72884,0.29571757,399474,296,832.5263786,181,1388,71,20,"NonMal"
"438694","Android","Others","mel-aus-01",62772,0.661439676,466217,227,1073.804274,127,1323,69,28,"NonMal"
"452335","Windows","ESTABLISHED","syd-tls-04",69180,0.638373151,297444,301,583.9461642,142,1355,61,23,"NonMal"
"246274","Others","ESTABLISHED","syd-tls-04",65567,0.643039732,575020,238,749.8919235,168,1325,62,25,"NonMal"
"441094","Windows","ESTABLISHED","mel-aus-01",56448,0.529025214,437458,262,65.72393289,165,1387,51,19,"NonMal"
"326123","Android","ESTABLISHED","mel-aus-01",70689,0.403285095,462869,231,526.7288301,139,1343,74,17,"NonMal"
"22380","Windows","ESTABLISHED","syd-tls-04",55133,0.704044019,640763,254,832.948867,109,1330,74,27,"NonMal"
"172532","Windows","ESTABLISHED","syd-tls-04",58969,0.726377704,598030,280,627.3971943,190,1327,53,25,"NonMal"
"277256","Windows","Others","syd-tls-04",59681,0.414512263,655885,316,77.29615154,162,1306,56,19,"NonMal"
"418855","Android","ESTABLISHED","syd-tls-04",63330,0.59621845,515520,243,644.1667822,162,1371,59,28,"NonMal"
"181490","Android","ESTABLISHED","syd-tls-04",62500,0.614085977,528875,211,444.5056867,209,1369,42,27,"NonMal"
"343793","Windows","ESTABLISHED","mel-aus-01",66935,0.472095088,305184,266,390.0315644,192,1351,55,20,"NonMal"
"9212","Others","ESTABLISHED","syd-tls-04",64967,0.71457256,437494,220,237.9390861,174,1333,80,21,"NonMal"
"413803","Windows","ESTABLISHED","mel-aus-01",64265,0.501811378,615732,296,220.2973982,205,1326,60,22,"NonMal"
"319275","Windows","ESTABLISHED","mel-aus-01",54240,0.69203617,459896,240,505.282552,160,1336,58,27,"NonMal"
"454138","Android","ESTABLISHED","syd-tls-04",59911,0.4090096,457493,204,790.2785028,147,1332,68,14,"NonMal"
"247882","Windows","ESTABLISHED","mel-aus-01",66093,0.610917929,378231,243,838.4373513,150,1352,67,28,"NonMal"
"112921","Windows","ESTABLISHED","syd-tls-04",51670,0.761928973,509399,323,631.5426025,158,1412,53,27,"NonMal"
"367229","Windows","ESTABLISHED","syd-tls-04",62608,0.416755357,426034,344,369.9986076,105,1349,50,14,"NonMal"
"79223","Windows","ESTABLISHED","mel-aus-01",76314,0.512606513,429017,253,124.7870832,168,1308,54,23,"NonMal"
"92254","Android","ESTABLISHED","mel-aus-01",62208,0.563413066,458661,343,43.11091223,127,1356,43,17,"NonMal"
"87088","Android","ESTABLISHED","mel-aus-01",64078,0.574181822,505641,160,70.48126543,218,1360,65,23,"NonMal"
"219978","Android","ESTABLISHED","syd-tls-04",63540,0.489852427,400913,360,2.186789689,135,1312,77,17,"NonMal"
"196051","Windows","ESTABLISHED","mel-aus-01",60843,0.552760374,584673,154,76.40812373,186,1318,67,19,"NonMal"
"107556","Android","ESTABLISHED","mel-aus-01",65574,0.622470493,633156,307,683.8567809,189,1317,74,28,"NonMal"
"12081","Windows","ESTABLISHED","mel-aus-01",69639,0.653101014,412577,196,395.5523815,161,1335,52,22,"NonMal"
"363884","Android","Others","mel-aus-01",51631,0.475197506,582135,346,354.6413876,164,1386,71,13,"NonMal"
"222587","Windows","ESTABLISHED","syd-tls-04",61464,0.655742837,575097,263,254.5235881,214,1372,62,25,"NonMal"
"450525","Android","ESTABLISHED","mel-aus-01",57652,0.473288033,651424,217,410.805565,213,1298,65,18,"NonMal"
"251938","Windows","ESTABLISHED","syd-tls-04",43065,0.70953935,592634,272,780.6771757,172,1350,53,33,"NonMal"
"439611","Android","ESTABLISHED","mel-aus-01",66424,0.635185351,510248,234,715.0362196,183,1405,72,26,"NonMal"
"17716","Windows","Others","mel-aus-01",67870,0.56189153,506518,179,1000.770395,108,1372,49,28,"NonMal"
"199235","Android","ESTABLISHED","mel-aus-01",67239,0.559105989,423613,334,150.8000572,179,1320,74,20,"NonMal"
"52952","Others","ESTABLISHED","mel-aus-01",51755,0.736566939,415945,309,724.5474704,141,1346,73,26,"NonMal"
"113715","Windows","ESTABLISHED","mel-aus-01",55925,0.577164349,522675,316,93.32960465,186,1374,56,17,"NonMal"
"129862","Android","ESTABLISHED","mel-aus-01",59317,0.465705179,483308,250,571.6855768,182,1388,63,16,"NonMal"
"302172","Others","ESTABLISHED","syd-tls-04",65183,0.733662053,428292,167,649.1021862,154,1295,64,21,"NonMal"
"260963","Windows","ESTABLISHED","mel-aus-01",59763,0.6756849,537127,249,772.0429867,139,1352,69,26,"NonMal"
"386501","Windows","Others","syd-tls-04",67883,0.564221429,650740,255,1055.074816,118,1395,58,29,"NonMal"
"325262","Windows","ESTABLISHED","mel-aus-01",67737,0.625490921,514507,205,506.9915749,194,1367,77,26,"NonMal"
"136222","Windows","ESTABLISHED","mel-aus-01",58072,0.701951603,491499,244,779.8288046,163,1371,56,27,"NonMal"
"289764","Android","ESTABLISHED","mel-aus-01",63839,0.254971605,573676,276,846.1873156,121,1317,61,16,"NonMal"
"443625","Windows","ESTABLISHED","syd-tls-04",67767,0.34687972,557374,339,537.832603,164,1372,49,17,"NonMal"
"318520","Android","ESTABLISHED","mel-aus-01",63956,0.656330159,492056,310,719.2861572,187,1342,41,25,"NonMal"
"333702","Windows","ESTABLISHED","syd-tls-04",63247,0.621751961,614122,229,987.8634541,133,1252,47,31,"NonMal"
"385152","Others","ESTABLISHED","mel-aus-01",61879,0.554576228,425238,223,108.913305,179,1372,66,19,"NonMal"
"145429","Windows","ESTABLISHED","mel-aus-01",58586,0.762107126,375950,220,621.1062088,127,1319,59,23,"NonMal"
"107881","Windows","ESTABLISHED","syd-tls-04",59547,0.382795631,315490,232,373.9409628,141,1285,67,17,"NonMal"
"104209","Android","ESTABLISHED","syd-tls-04",45908,0.810067878,460041,302,275.5861951,231,1370,57,25,"NonMal"
"122912","Windows","ESTABLISHED","syd-tls-04",68683,0.600304381,472702,236,691.1484058,186,1324,54,27,"NonMal"
"234846","Android","ESTABLISHED","mel-aus-01",59625,0.4454202,547453,310,571.4698196,137,1362,77,14,"NonMal"
"334611","Windows","ESTABLISHED","mel-aus-01",74952,0.534170688,463617,222,346.4068155,184,1350,85,25,"NonMal"
"423942","Windows","ESTABLISHED","mel-aus-01",66920,0.65254596,384475,209,427.3392496,202,1410,51,23,"NonMal"
"98906","Windows","ESTABLISHED","mel-aus-01",66179,0.57496288,436234,217,605.4398047,201,1331,67,29,"NonMal"
"29745","Android","ESTABLISHED","syd-tls-04",56552,0.471209499,423614,245,439.429761,128,1361,76,12,"NonMal"
"188313","Windows","ESTABLISHED","syd-tls-04",68828,0.638042997,667756,325,731.9259242,137,1319,64,24,"NonMal"
"131263","Android","ESTABLISHED","mel-aus-01",77279,0.631162465,389184,321,281.74628,156,1367,65,20,"NonMal"
"100742","Windows","ESTABLISHED","mel-aus-01",62403,0.674057042,666597,290,661.3034423,156,1340,62,27,"NonMal"
"87581","Windows","ESTABLISHED","mel-aus-01",56458,0.436594357,571990,326,545.5316094,208,1350,64,20,"NonMal"
"110976","Android","ESTABLISHED","mel-aus-01",57609,0.633903228,586235,221,917.897261,141,1333,57,31,"NonMal"
"19232","Android","ESTABLISHED","syd-tls-04",58437,0.740384241,478303,311,664.4165146,140,1359,74,25,"NonMal"
"64534","Android","ESTABLISHED","mel-aus-01",57273,0.689677785,568337,314,570.5942637,165,1375,65,26,"NonMal"
"379053","Windows","ESTABLISHED","mel-aus-01",61101,0.667325312,492968,309,608.3863793,192,1330,78,27,"NonMal"
"185967","Android","ESTABLISHED","mel-aus-01",71031,0.558095218,649374,243,555.2115958,150,1310,63,25,"NonMal"
"210739","Windows","ESTABLISHED","syd-tls-04",58179,0.531043441,675689,230,175.7491722,177,1322,52,18,"NonMal"
"365282","Windows","ESTABLISHED","mel-aus-01",58492,0.418272451,340473,243,530.9419217,135,1348,55,13,"NonMal"
"473976","Android","ESTABLISHED","mel-aus-01",56604,0.685638841,608943,352,354.5212605,212,1340,69,26,"NonMal"
"396785","Others","ESTABLISHED","mel-aus-01",68322,0.607584757,476880,312,264.7295529,169,1381,59,23,"NonMal"
"158522","Android","ESTABLISHED","syd-tls-04",63086,0.687164241,260187,224,467.0951218,162,1334,50,24,"NonMal"
"43813","Others","ESTABLISHED","mel-aus-01",59678,0.461636874,492667,263,265.0735715,182,1373,66,19,"NonMal"
"225675","Others","Others","mel-aus-01",56724,0.553035196,503003,286,462.3211849,237,1351,64,32,"NonMal"
"89621","Windows","ESTABLISHED","mel-aus-01",65788,0.706764279,548631,270,422.1186823,151,1360,55,22,"NonMal"
"215030","Windows","ESTABLISHED","mel-aus-01",65596,0.703172721,435903,273,431.2103433,218,1310,55,24,"NonMal"
"301318","Windows","ESTABLISHED","mel-aus-01",62182,0.627795648,547563,293,354.0143405,190,1367,64,28,"NonMal"
"363430","Android","ESTABLISHED","mel-aus-01",58745,0.625742169,486975,250,871.1768258,132,1362,65,30,"NonMal"
"248870","Android","ESTABLISHED","mel-aus-01",61897,0.355536386,474427,199,766.9804265,117,1374,56,13,"NonMal"
"438907","Windows","ESTABLISHED","syd-tls-04",57689,0.681948543,458706,310,562.5320478,176,1353,68,27,"NonMal"
"7283","Windows","ESTABLISHED","syd-tls-04",56999,0.528564858,488816,275,389.1642298,184,1332,56,15,"NonMal"
"473172","Android","ESTABLISHED","syd-tls-04",65258,0.317345121,418030,215,669.0659155,153,1356,69,18,"NonMal"
"210518","Android","ESTABLISHED","syd-tls-04",58152,0.419504742,305275,296,798.8289906,196,1399,61,17,"NonMal"
"66758","Windows","ESTABLISHED","mel-aus-01",57713,0.641784312,528005,272,575.9402664,181,1296,54,28,"NonMal"
"38849","Windows","ESTABLISHED","mel-aus-01",56393,0.660644202,279995,263,730.2151748,166,1334,51,29,"NonMal"
"319833","Android","ESTABLISHED","mel-aus-01",72579,0.432930244,462273,249,269.8193229,150,1409,52,19,"NonMal"
"364884","Android","ESTABLISHED","mel-aus-01",60473,0.48399796,489851,255,324.8693369,185,1403,59,19,"NonMal"
"418378","Others","ESTABLISHED","syd-tls-04",61187,0.435121173,414983,328,729.8199896,144,1330,58,15,"NonMal"
"194243","Android","ESTABLISHED","mel-aus-01",68989,0.639827405,477728,270,701.6575607,121,1320,63,23,"NonMal"
"176487","Android","ESTABLISHED","mel-aus-01",62049,0.455520868,498617,284,293.8533164,140,1396,67,14,"NonMal"
"123416","Windows","ESTABLISHED","syd-tls-04",62053,0.553447801,371859,302,116.7962341,207,1367,53,21,"NonMal"
"289225","Android","ESTABLISHED","mel-aus-01",48848,0.410100785,427857,320,799.5523033,122,1361,80,10,"NonMal"
"191822","Others","ESTABLISHED","mel-aus-01",66444,0.580585648,357055,234,27.52985257,191,1342,68,21,"NonMal"
"302567","Android","ESTABLISHED","mel-aus-01",61013,0.664745012,494258,270,589.3221514,193,1280,71,26,"NonMal"
"136045","Android","ESTABLISHED","mel-aus-01",52537,0.712263112,436663,296,852.7406385,140,1333,63,29,"NonMal"
"97141","Android","ESTABLISHED","mel-aus-01",62719,0.323545977,503633,278,880.7300012,142,1347,66,14,"NonMal"
"325375","Windows","ESTABLISHED","syd-tls-04",65251,0.366455336,451356,352,631.0941321,168,1326,67,16,"NonMal"
"466017","Android","ESTABLISHED","mel-aus-01",54404,0.700741638,443961,220,742.5672913,192,1324,80,29,"NonMal"
"316780","Windows","ESTABLISHED","mel-aus-01",64169,0.434329936,535886,273,492.9972331,100,1361,93,14,"NonMal"
"262322","Windows","ESTABLISHED","mel-aus-01",71120,0.689228083,527047,316,330.7731931,154,1355,60,20,"NonMal"
"403169","Windows","ESTABLISHED","mel-aus-01",65404,0.609737557,560816,356,802.0788613,141,1364,73,27,"NonMal"
"79291","Android","ESTABLISHED","mel-aus-01",67177,0.48593701,502407,205,4.573654399,166,1330,64,20,"NonMal"
"424920","Windows","ESTABLISHED","mel-aus-01",59658,0.367361114,492799,234,792.6748921,171,1350,75,17,"NonMal"
"777","Android","ESTABLISHED","mel-aus-01",70202,0.533479619,396667,306,215.0133984,183,1353,68,20,"NonMal"
"362792","Android","ESTABLISHED","mel-aus-01",62878,0.518799809,389841,236,449.7424593,158,1311,67,17,"NonMal"
"334756","Windows","ESTABLISHED","mel-aus-01",59412,0.673554751,515256,317,236.8531876,200,1349,60,26,"NonMal"
"270316","Windows","ESTABLISHED","syd-tls-04",69358,0.345866413,462596,265,684.5098009,143,1286,54,18,"NonMal"
"357005","Windows","ESTABLISHED","mel-aus-01",59146,0.707101468,543679,292,265.4781792,190,1334,61,25,"NonMal"
"19993","Windows","ESTABLISHED","mel-aus-01",68815,0.557784772,414883,308,165.415232,171,1360,64,21,"NonMal"
"191295","Windows","ESTABLISHED","mel-aus-01",65321,0.527866656,429960,243,237.5919436,198,1348,61,21,"NonMal"
"274338","Android","ESTABLISHED","syd-tls-04",72176,0.591388853,479139,264,665.4222682,188,1382,67,26,"NonMal"
"73092","Android","ESTABLISHED","syd-tls-04",64385,0.621365177,387100,240,819.8762906,160,1408,75,27,"NonMal"
"104021","Others","ESTABLISHED","mel-aus-01",76139,0.613793942,478757,262,777.8564489,134,1366,51,23,"NonMal"
